Commentaire;Pseudo;Catégorie;;Traduction FR
jesus is king 👑;_.cxr10s;Religion;🆗;"""Jésus est roi"""
Yuck.;__bot_acct__73;Insulte;🆗;Beurk.
The Antichrist has been revealed;_bastoseverton;Critique, Religion;🔴;"""L'Antéchrist a été révélé."""
🙌👏🙌👏;_darkflame4;Soutien;🆗;-
👑👑👑;_emsta;Soutien;🆗;N/A
@thaiscarla achei sua irmã;_glinglani;Grossophobie;🆗;@thaiscarla j'ai trouvé ta sœur.
Piece of 💩😂;_julianorodrigo;Insulte;🔴;"""Morceau de 💩😂"""
Demonu debeli;_k_djordje;Harcèlement, Grossophobie, Religion;🔴;
RIDÍCULA;_noeab;Insulte;🆗;"""RIDICULE."""
❤️❤️❤️❤️❤️❤️❤️❤️;_olivier;Soutien;🆗;Cœurs (soutien).
Si te gusta la actividad ... Ponte hacer ejercicio y a leer para respetar a millones de personas ... Lo del ejercicio es por tu corazón que ademas de ser una mierda, está mal de salud;_pepe_bg;Grossophobie;🔴;"""Si tu aimes l'activité... Fais de l'exercice et apprends à respecter des millions de personnes... L'exercice est pour ton cœur, qui en plus d'être merdique, est en mauvaise santé."""
sue me, please, mtfkr;_phamv;Insulte, Vulgarité;🆗;Poursuis-moi, enfoiré.
Jesus Christ is Lord;_queen_of_sparta;Religion;🆗;
💩;_rcasot;Insulte;🆗;Caca (insulte).
she went BEYOND the last super… 🍞🥞🍔🍟🌮🫔;1_marv_;Grossophobie;🆗;-
🖕🏻;15.rfael;Insulte;🆗;-
Aim to unite people? Well, mission frekin accomplished!;3hn4t0n3;Soutien;🆗;
God is good! Praying for you;3xgirlmom;Soutien;🆗;
NO SE TOCA NI A JESÚS NI A LOS NIÑOS.ESE ESPECTACULO ES UNA ASQUEROSIDAD SATÁNICA .YO NO TE JUZGARÉ,TE JUZGARÁ DIOS.DIOS DEJA BIEN CLARO QUE LOS QUE ESTÁN CON EL ANTICRISTO SERAN LANZADOS AL LAGO DE FUEGO.;44829662f;Incitation à la haine religieuse;🔴;"""On ne touche pas à Jésus ni aux enfants. Ce spectacle est une abomination satanique. Je ne te jugerai pas, Dieu te jugera."" (Espagnol)."
NO SE TOCA NI A JESÚS NI A LOS NIÑOS,ESE ESPECTÁCULO FUÉ UNA ASQUEROSIDAD.;44829662f;Religion, Incitation à la haine;🔴;"""On ne touche ni à Jésus ni aux enfants, ce spectacle était répugnant."" (Espagnol)."
JESUS REI DO UNIVERSO;aaliceeduarteenf;Religion;🆗;"""Jésus Roi de l'Univers"""
☦️☦️☦️;aalleekkssannddaarr;Religion;🆗;N/A
💩;abbyking;Harcèlement;🆗;"""Caca."""
Jesus will not have mercy on you if you do not repent, eternal fire awaits those. ☦️;abc109cr7;Discrimination (religion);🔴;Jésus n'aura pas de miséricorde sur vous si vous ne vous repentez pas, le feu éternel attend ceux-ci. ☦️
Jesus loves you Barbara...;abenaba2;Religion;🆗;Jésus t'aime Barbara. Il est mort pour toi.
Fat free city !!!;abimanyu_p;Grossophobie;🔴;"""Ville sans graisse !!!"""
Love love love ❤️;aboli.shine;Soutien;🆗;N/A
Fez o que fez, agora vai ter que suportar as ameaças;adilsonmartins150;Intimidation;🔴;"""Tu as fait ce que tu as fait, maintenant tu vas devoir supporter les menaces"""
Nhonhão do Dianho…;adolphoscheel;Insulte;🆗;Gros du diable.
Tá mais para elef@nte da arca!;adrianoreisx;Grossophobie;🔴;"""Ça ressemble plus à un éléphant de l'arche !"""
Reckless.;adrifalangola;Harcèlement;🔴;
❤️❤️❤️;adviitamaeternam;Soutiens;🆗;Aucun texte à traduire
♥️👑♥️👑♥️👑♥️👑♥️👑;aeaa_eaia;Soutien;🆗;N/A
This is disrespectful.;agust_armn;Insulte;🆗;C'est irrespectueux.
wtf;aideptrainhatnha;Harcèlement;🔴;
Na volta do Rei, teu joelho se dobrará !;ailttonn_juniorr;Intimidation, Religion;🔴;"""À la retour du Roi, ton genou pliera !"""
Soutiens énorme!!! Ne change jamais on t’❤️ comme tu es!!! 💚💛❤️;aka_thewhiteyogi;Soutien;🆗;"""Soutien énorme, ne change jamais, on t'aime !"""
Se atrevería a hacer lo mismo con los hermanos musulmanes??;akenat_on;Religion;🆗;Oseriez-vous faire la même chose avec les musulmans ?
C’est un goût. 😝😝😝;alaretouchedutemps;🆗;🆗;—
Eres un verdadero mounstro... burlarte del cristianismo...;albertoponcephoto;Religion, Insulte;🆗;Tu es un véritable monstre. Comment oses-tu te moquer du christianisme ?
👑👑👑;alexandra__fr;Soutien;🆗;-
Last night U DJ saved our life🔥👏;alexandre_air;Soutien;🆗;N/A
👏🔥;alexisfarce;Soutien;🆗;N/A
Quero ver vc denegrir a imagem de Maomé...;alfredoboachaques;Religion, Violence;🔴;Je veux te voir dénigrer l'image de Mahomet. La peur de te faire tuer t'en empêche. La colère divine viendra bientôt.
Juste sublime ! Bravo♥️;alice_pouss_ade;Soutien;🆗;N/A
❤️❤️;alicevicq;Soutien;🆗;
Gym exited the chat...;alinconstantinpaun;Grossophobie, Harcèlement;🔴;"""La salle de sport a quitté la discussion."""
❤️❤️❤️;alix2401;Soutien;🆗;N/A
La Queen 👑❤️👏;alixdep;Soutiens;🆗;The Queen 👑❤️👏
Finished generation! 🤦🏻‍♂️;alphie_breezy;Insulte;🆗;Génération finie.
❤️❤️❤️❤️;alunnana;Soutiens;🆗;—
Last Supper? Looks like this chubba-wubba DJ had TOO MANY SUPPERS...;alvinpeciller;Grossophobie, Moquerie;🔴;"""Dernière Cène ? On dirait que ce DJ obèse a pris TROP de repas..."""
De lamour de lamour et encore de lamour Barbs 😘😘😘😘😘;ambergrace_official;Soutien;🆗;N/A
Une reine 👑❤️;ameliefrancois19;Soutien;🆗;Une reine.
Queen ❤️;ana_chronique;Soutiens;🆗;Queen ❤️
Love = disrespect christians 🫠;ana_ester.sanches;Religion;🔴;L'amour = manquer de respect aux chrétiens 🫠
♥️♥️♥️;anaisgrc;Soutien;🆗;
